trajectory,family,take,mode,search_status,source_frames,left_accept_frames,right_accept_frames,both_accept_frames,left_accept_coverage,right_accept_coverage,both_accept_coverage,collision_frames,edge_collision_frames,topology_invalid_frames,longest_hold_frames,maximum_position_error_mm,maximum_orientation_error_deg,maximum_velocity_rad_s,maximum_acceleration_rad_s2,limits_passed
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,upright_table,infeasible,1490,692,43,43,0.46442953020134226,0.028859060402684565,0.028859060402684565,0,0,0,1444,1324.3038493688416,109.53473881995336,12.083572542539883,403.86251034591226,False
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,horizontal_wall,complete,1490,0,0,0,0.0,0.0,0.0,0,0,0,1490,1190.692499992333,164.63013713165088,0.0,0.0,True
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,inverted,complete,1490,445,0,0,0.2986577181208054,0.0,0.0,0,0,0,1490,1383.2300937159403,179.89375242145607,3.913368754689799,163.73985015681922,False
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,baseline,complete,1907,1180,0,0,0.6187729417933928,0.0,0.0,0,0,0,1907,1372.126196197235,157.5118474381696,11.250820282117726,527.909171419652,False
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,upright_table,infeasible,1907,757,0,0,0.3969585736759308,0.0,0.0,0,0,0,1907,1449.0478809811736,144.96294257780107,10.646945757758061,530.8415484368561,False
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,horizontal_wall,complete,1907,0,0,0,0.0,0.0,0.0,0,0,0,1907,1349.8635318348468,172.3324008021958,0.0,0.0,True
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,inverted,complete,1907,177,0,0,0.09281594126900891,0.0,0.0,0,0,0,1907,1487.615394361202,179.90761354997483,4.51936858507861,201.82941806821304,False
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,baseline,complete,2524,1242,55,55,0.4920760697305864,0.021790808240887482,0.021790808240887482,0,0,0,2449,1483.4644809375773,136.64695638683517,15.436123437776118,701.7753348410042,False
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,upright_table,infeasible,2524,848,0,0,0.3359746434231379,0.0,0.0,0,0,0,2524,1553.5417089792163,160.13037711812783,14.138728077401083,569.6306798608096,False
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,horizontal_wall,complete,2524,0,0,0,0.0,0.0,0.0,0,0,0,2524,1269.3667602554517,162.79524818859974,0.0,0.0,True
8-11/Screw_Cap/162854,8-11/Screw_Cap,162854,inverted,complete,2524,0,0,0,0.0,0.0,0.0,0,0,0,2524,1294.779598694229,179.83658484074766,0.0,0.0,True
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,baseline,complete,2439,2439,2439,2439,1.0,1.0,1.0,0,0,0,0,0.9999415623922546,0.49891350663323336,6.250432402390414,186.41137880461193,False
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,upright_table,complete,2439,56,0,0,0.022960229602296024,0.0,0.0,0,0,0,2439,509.69962166598646,179.90683079132714,2.3121028582871093,66.54972931135185,False
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,horizontal_wall,complete,2439,0,0,0,0.0,0.0,0.0,0,0,0,2439,868.6179899286594,179.99522967864192,0.0,0.0,True
8-11/Seal_Bag/161504,8-11/Seal_Bag,161504,inverted,complete,2439,0,0,0,0.0,0.0,0.0,0,0,0,2439,843.2148537045342,179.99450894278166,0.0,0.0,True
8-11/Seal_Bag/161532,8-11/Seal_Bag,161532,baseline,complete,1332,25,1325,25,0.01876876876876877,0.9947447447447447,0.01876876876876877,0,0,0,1307,448.5282233533129,77.64546388970228,4.62006415792294,115.34702977316417,False
8-11/Seal_Bag/161532,8-11/Seal_Bag,161532,upright_table,complete,1332,43,0,0,0.03228228228228228,0.0,0.0,0,0,0,1332,472.5088613205384,179.9007511167233,4.018989861425843,77.21770901506581,False
8-11/Seal_Bag/161532,8-11/Seal_Bag,161532,horizontal_wall,complete,1332,0,0,0,0.0,0.0,0.0,0,0,0,1332,883.3835292130204,179.78078045519908,0.0,0.0,True
8-11/Seal_Bag/161532,8-11/Seal_Bag,161532,inverted,complete,1332,0,0,0,0.0,0.0,0.0,0,0,0,1332,583.0191322242825,179.99379329293342,0.0,0.0,True
8-11/Seal_Bag/161549,8-11/Seal_Bag,161549,baseline,complete,976,0,976,0,0.0,1.0,0.0,0,0,0,976,369.9532146312749,91.76687393508213,5.356319544948818,196.28250782164503,False
8-11/Seal_Bag/161549,8-11/Seal_Bag,161549,upright_table,complete,976,37,0,0,0.03790983606557377,0.0,0.0,0,0,0,976,486.6626385225754,179.98998417210962,1.5215502160195662,171.26780915398902,False
8-11/Seal_Bag/161549,8-11/Seal_Bag,161549,horizontal_wall,complete,976,0,0,0,0.0,0.0,0.0,0,0,0,976,848.3203488768811,179.91184018779194,0.0,0.0,True
8-11/Seal_Bag/161549,8-11/Seal_Bag,161549,inverted,complete,976,0,0,0,0.0,0.0,0.0,0,0,0,976,594.6444326991124,179.99773809841997,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/155911,8-11/WaterSoluble_AluminumPouch,155911,baseline,complete,5918,0,37,0,0.0,0.006252112200067591,0.0,0,0,0,5918,588.2404592938852,169.64846269707056,1.898547204369918,88.83799940688331,False
8-11/WaterSoluble_AluminumPouch/155911,8-11/WaterSoluble_AluminumPouch,155911,upright_table,infeasible,5918,0,0,0,0.0,0.0,0.0,0,0,0,5918,536.9837122217293,172.99490595753207,0.0,0.0,True
8-11/WaterSoluble_AluminumPouch/155911,8-11/WaterSoluble_AluminumPouch,155911,horizontal_wall,complete,5918,0,0,0,0.0,0.0,0.0,0,0,0,5918,898.6341464467032,179.99726548831774,0.0,0.0,True
