t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103764.943569166,vr_world,40881,103764.927578916,0.015990625,1,0.159702000,-0.238727000,-0.411873000,0.012825962,-0.220860175,0.969697007,-0.103653230,1,0.334220710,-0.313527531,-0.431149050,0.012825962,-0.220860175,0.969697007,-0.103653230,40964,103764.927578916,0.015990625,1,0.353073000,0.232269000,-0.425324000,0.106330920,-0.793294771,0.599479964,-0.000955824,1,0.520226007,0.149608213,-0.462246093,0.106330920,-0.793294771,0.599479964,-0.000955824
0.012119959,103764.955689125,vr_world,40882,103764.949332166,0.006357875,1,0.159498000,-0.239466000,-0.412162000,0.014515416,-0.220056421,0.969927500,-0.102981162,1,0.333979747,-0.314451737,-0.431048670,0.014515416,-0.220056421,0.969927500,-0.102981162,40965,103764.949332166,0.006357875,1,0.353307000,0.231516000,-0.425371000,0.109869688,-0.791442259,0.601288433,-0.000153833,1,0.520148334,0.148292788,-0.462439087,0.109869688,-0.791442259,0.601288433,-0.000153833
0.024489375,103764.968058541,vr_world,40882,103764.949332166,0.018726917,1,0.159498000,-0.239466000,-0.412162000,0.014515416,-0.220056421,0.969927500,-0.102981162,1,0.333979747,-0.314451737,-0.431048670,0.014515416,-0.220056421,0.969927500,-0.102981162,40965,103764.949332166,0.018726917,1,0.353307000,0.231516000,-0.425371000,0.109869688,-0.791442259,0.601288433,-0.000153833,1,0.520148334,0.148292788,-0.462439087,0.109869688,-0.791442259,0.601288433,-0.000153833
0.035166417,103764.978735583,vr_world,40883,103764.972519333,0.006217083,1,0.159170000,-0.241384000,-0.411710000,0.014340122,-0.222572368,0.969977638,-0.096949902,1,0.333954803,-0.315270194,-0.432070848,0.014340122,-0.222572368,0.969977638,-0.096949902,40966,103764.972519333,0.006217083,1,0.352955000,0.230492000,-0.424999000,0.110447412,-0.793538590,0.598405597,0.002935586,1,0.520303093,0.148722469,-0.463006339,0.110447412,-0.793538590,0.598405597,0.002935586
0.047573625,103764.991142791,vr_world,40883,103764.972519333,0.018623708,1,0.159170000,-0.241384000,-0.411710000,0.014340122,-0.222572368,0.969977638,-0.096949902,1,0.333954803,-0.315270194,-0.432070848,0.014340122,-0.222572368,0.969977638,-0.096949902,40966,103764.972519333,0.018623708,1,0.352955000,0.230492000,-0.424999000,0.110447412,-0.793538590,0.598405597,0.002935586,1,0.520303093,0.148722469,-0.463006339,0.110447412,-0.793538590,0.598405597,0.002935586
0.058870292,103765.002439458,vr_world,40884,103764.994344666,0.008095334,1,0.159567000,-0.241986000,-0.411734000,0.016770969,-0.220128833,0.970664654,-0.095247892,1,0.334104683,-0.316570252,-0.431664756,0.016770969,-0.220128833,0.970664654,-0.095247892,40967,103764.994344666,0.008095334,1,0.353294000,0.229719000,-0.424555000,0.110201472,-0.795946494,0.595231740,0.004897941,1,0.521216155,0.149405211,-0.463130958,0.110201472,-0.795946494,0.595231740,0.004897941
0.071264209,103765.014833375,vr_world,40884,103764.994344666,0.020489500,1,0.159567000,-0.241986000,-0.411734000,0.016770969,-0.220128833,0.970664654,-0.095247892,1,0.334104683,-0.316570252,-0.431664756,0.016770969,-0.220128833,0.970664654,-0.095247892,40967,103764.994344666,0.020489500,1,0.353294000,0.229719000,-0.424555000,0.110201472,-0.795946494,0.595231740,0.004897941,1,0.521216155,0.149405211,-0.463130958,0.110201472,-0.795946494,0.595231740,0.004897941
0.083659042,103765.027228208,vr_world,40885,103765.016601291,0.010627625,1,0.159101000,-0.241416000,-0.411140000,0.016756967,-0.220364325,0.971353733,-0.087353846,1,0.333595349,-0.315606242,-0.432842666,0.016756967,-0.220364325,0.971353733,-0.087353846,40968,103765.016601291,0.010627625,1,0.353948000,0.229593000,-0.424101000,0.111834651,-0.794324325,0.597056703,0.008072897,1,0.521397488,0.148845883,-0.463809629,0.111834651,-0.794324325,0.597056703,0.008072897
0.096095125,103765.039664291,vr_world,40886,103765.038975750,0.000689041,1,0.159412000,-0.240476000,-0.412527000,0.019174133,-0.219241715,0.970677436,-0.096699212,1,0.333957296,-0.315323979,-0.431373442,0.019174133,-0.219241715,0.970677436,-0.096699212,40969,103765.038975750,0.000689041,1,0.354215000,0.229669000,-0.424362000,0.110653069,-0.794124161,0.597550623,0.007481200,1,0.521549262,0.148630524,-0.463962512,0.110653069,-0.794124161,0.597550623,0.007481200
0.107738584,103765.051307750,vr_world,40886,103765.038975750,0.012332458,1,0.159412000,-0.240476000,-0.412527000,0.019174133,-0.219241715,0.970677436,-0.096699212,1,0.333957296,-0.315323979,-0.431373442,0.019174133,-0.219241715,0.970677436,-0.096699212,40969,103765.038975750,0.012332458,1,0.354215000,0.229669000,-0.424362000,0.110653069,-0.794124161,0.597550623,0.007481200,1,0.521549262,0.148630524,-0.463962512,0.110653069,-0.794124161,0.597550623,0.007481200
0.120115917,103765.063685083,vr_world,40887,103765.061402583,0.002282833,1,0.159195000,-0.239379000,-0.412501000,0.014174568,-0.219806256,0.970419617,-0.098843605,1,0.333580282,-0.314323471,-0.432412739,0.014174568,-0.219806256,0.970419617,-0.098843605,40970,103765.061402583,0.002282833,1,0.354552000,0.229426000,-0.423901000,0.108266662,-0.795635206,0.595943147,0.009732163,1,0.522038741,0.149150196,-0.464400326,0.108266662,-0.795635206,0.595943147,0.009732163
