task,family,take,source_frames,pose_frames,pose_coverage,fixed_time_frames,fixed_time_coverage,collision_frames,collision_free_coverage,source_duration_s,execution_duration_s,cycle_delay_s,maximum_velocity_rad_s,maximum_acceleration_rad_s2,left_max_position_mm,right_max_position_mm,left_max_orientation_deg,right_max_orientation_deg,video_frames,video_fps,video_duration_s
Fold_Box,8-11/Fold_Box,161044,1061,1061,1.0,1,0.000942507068803016,71,0.9330819981149858,17.656955542,74.28511266053482,56.62815711853482,1.000000000000047,4.000000000001243,0.9998883027376858,0.9999113872403158,0.4972299018281761,0.49584575399266334,2230,30.0,74.3
Seal_Bag,8-11/Seal_Bag,161504,1757,1757,1.0,1,0.0005691519635742744,17,0.9903244166192373,29.261361125,100.63257243597134,71.37121131097135,1.000000000000042,4.000000000000869,0.9999677299452707,0.9999740220458779,0.49880442389887164,0.4928648903942305,3020,30.0,100.63333333333334
