source,destination,task,rows,duration_s,threshold_s,action,recorded_at_utc
E:/YZH123123/single-arm-mount/data/factory/8-11/AluminumFoilPouch_BoxPackaging/handheld_20260811_160452.csv,E:/YZH123123/single-arm-mount/data/factory/8-11/_rejected_short/AluminumFoilPouch_BoxPackaging/handheld_20260811_160452.csv,AluminumFoilPouch_BoxPackaging,222,2.641858041,5.0,quarantined,2026-08-11T09:53:27.782013+00:00
E:/YZH123123/single-arm-mount/data/factory/8-11/AluminumFoilPouch_BoxPackaging/handheld_20260811_160612.csv,E:/YZH123123/single-arm-mount/data/factory/8-11/_rejected_short/AluminumFoilPouch_BoxPackaging/handheld_20260811_160612.csv,AluminumFoilPouch_BoxPackaging,311,3.698261625,5.0,quarantined,2026-08-11T09:53:27.782013+00:00
