trajectory,family,take,mode,frames,valid_pair_frames,conditioned_pair_coverage,raw_pair_coverage,coverage_delta_percentage_points,solver_target_max_position_deviation_mm,solver_target_max_orientation_deviation_deg,smoothing_max_position_deviation_mm,smoothing_max_orientation_deviation_deg,wrist_adaptation_max_position_mm,wrist_adaptation_max_orientation_deg,stored_solver_target_matches_current_contract,solver_target_exceeds_strict_position_tolerance,solver_target_exceeds_strict_orientation_tolerance,raw_max_position_error_mm,raw_max_orientation_error_deg,source_interval_median_ms,source_tcp_linear_speed_p95_m_s,source_tcp_linear_speed_max_m_s,source_tcp_angular_speed_p95_rad_s,source_tcp_angular_speed_max_rad_s,maximum_joint_velocity_rad_s,maximum_joint_acceleration_rad_s2,study_dynamics_pass,official_ceiling_dynamics_pass,collision_frames,edge_collision_frames,topology_invalid_frames
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,baseline,4925,4925,0.020913705583756347,0.002233502538071066,1.8680203045685282,5.0000000000001,1.0000000000026408,5.0000000000001,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,557.1902345074197,119.382161519922,12.382562500004468,0.7151513997328218,2.3288729301642186,3.8283590613944547,14.332661397554148,27.158423885056905,1203.0478607657276,False,False,0,0,0
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,upright_table,4925,4925,0.4873096446700508,0.09827411167512691,38.90355329949239,5.0000000000001,1.0000000000026408,5.0000000000001,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,405.03827982281695,85.94146176985616,12.382562500004468,0.7151513997328218,2.3288729301642186,3.8283590613944547,14.332661397554148,27.9620283610765,1229.344378845819,False,False,0,0,0
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,horizontal_wall,4925,4925,0.0,0.0,0.0,5.0000000000001,1.0000000000026408,5.0000000000001,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,514.4075446093336,146.84016846306477,12.382562500004468,0.7151513997328218,2.3288729301642186,3.8283590613944547,14.332661397554148,0.0,0.0,True,True,0,0,0
8-11/AluminumFoilPouch_BoxPackaging/160555,8-11/AluminumFoilPouch_BoxPackaging,160555,inverted,4925,4925,0.0,0.0,0.0,5.0000000000001,1.0000000000026408,5.0000000000001,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,982.4931677612266,179.99731948126737,12.382562500004468,0.7151513997328218,2.3288729301642186,3.8283590613944547,14.332661397554148,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/160710,8-11/Fold_Box,160710,baseline,2506,2506,0.5203511572226656,0.05905826017557861,46.1292897047087,5.000000000000101,13.411533228193436,5.000000000000101,1.0000000000011828,0.0,12.500000000000082,True,True,True,182.90731242079647,80.28928219683806,12.388458000000213,0.7176604849807062,2.1705341745807227,4.410029588212976,17.498102361792146,26.8972038120422,1261.522315749345,False,False,0,0,0
8-11/Fold_Box/160710,8-11/Fold_Box,160710,upright_table,2506,2506,0.07501995211492418,0.01556264964086193,5.9457302474062255,5.000000000000101,13.411533228193436,5.000000000000101,1.0000000000011828,0.0,12.500000000000082,True,True,True,473.89131856216574,169.34035383328234,12.388458000000213,0.7176604849807062,2.1705341745807227,4.410029588212976,17.498102361792146,107.77977742165373,4475.040147306489,False,False,0,0,0
8-11/Fold_Box/160710,8-11/Fold_Box,160710,horizontal_wall,2506,2506,0.004389465283320032,0.0,0.4389465283320032,5.000000000000101,13.411533228193436,5.000000000000101,1.0000000000011828,0.0,12.500000000000082,True,True,True,632.8645752655277,179.91938653346793,12.388458000000213,0.7176604849807062,2.1705341745807227,4.410029588212976,17.498102361792146,65.0356312273865,2611.2027948877453,False,False,0,0,0
8-11/Fold_Box/160710,8-11/Fold_Box,160710,inverted,2506,2506,0.0,0.0,0.0,5.000000000000101,13.411533228193436,5.000000000000101,1.0000000000011828,0.0,12.500000000000082,True,True,True,718.5057362940314,179.99918906730758,12.388458000000213,0.7176604849807062,2.1705341745807227,4.410029588212976,17.498102361792146,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/160754,8-11/Fold_Box,160754,baseline,1964,1964,0.5269857433808554,0.059063136456211814,46.79226069246435,5.0000000000000595,13.433926656177068,5.0000000000000595,1.0000000000011828,0.0,12.499999999999963,True,True,True,153.46969713171748,79.7094801396445,12.381208000000754,0.6105375476366215,6.180125962234589,4.7337212413457195,44.61696884680697,50.49564232855411,4901.2376013023995,False,False,0,0,0
8-11/Fold_Box/160754,8-11/Fold_Box,160754,upright_table,1964,1964,0.17362525458248473,0.031568228105906315,14.205702647657843,5.0000000000000595,13.433926656177068,5.0000000000000595,1.0000000000011828,0.0,12.499999999999963,True,True,True,208.30055017641868,101.05425238960107,12.381208000000754,0.6105375476366215,6.180125962234589,4.7337212413457195,44.61696884680697,46.53902457469654,3781.4061149870527,False,False,0,0,0
8-11/Fold_Box/160754,8-11/Fold_Box,160754,horizontal_wall,1964,1964,0.013238289205702648,0.0,1.3238289205702647,5.0000000000000595,13.433926656177068,5.0000000000000595,1.0000000000011828,0.0,12.499999999999963,True,True,True,367.91947293655596,130.05357789500025,12.381208000000754,0.6105375476366215,6.180125962234589,4.7337212413457195,44.61696884680697,24.13082883209897,1007.2076164734742,False,False,0,0,0
8-11/Fold_Box/160754,8-11/Fold_Box,160754,inverted,1964,1964,0.0,0.0,0.0,5.0000000000000595,13.433926656177068,5.0000000000000595,1.0000000000011828,0.0,12.499999999999963,True,True,True,617.2172554822492,179.99232672019343,12.381208000000754,0.6105375476366215,6.180125962234589,4.7337212413457195,44.61696884680697,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/160829,8-11/Fold_Box,160829,baseline,977,977,0.5690890481064483,0.05424769703172978,51.48413510747185,5.000000000000051,12.929920883179992,5.000000000000051,1.0000000000011828,0.0,12.500000000000082,True,True,True,92.84242160890403,29.435572790283068,12.372645999999765,0.5546518060430286,1.5153479932908962,3.859247333068864,9.204120863397495,20.754863880247623,973.7548708928382,False,False,0,0,0
8-11/Fold_Box/160829,8-11/Fold_Box,160829,upright_table,977,977,0.5056294779938587,0.0593654042988741,44.62640736949846,5.000000000000051,12.929920883179992,5.000000000000051,1.0000000000011828,0.0,12.500000000000082,True,True,True,105.24871513325581,38.20361596202497,12.372645999999765,0.5546518060430286,1.5153479932908962,3.859247333068864,9.204120863397495,6.656100121923057,204.69044812137867,False,False,0,0,0
8-11/Fold_Box/160829,8-11/Fold_Box,160829,horizontal_wall,977,977,0.0,0.0,0.0,5.000000000000051,12.929920883179992,5.000000000000051,1.0000000000011828,0.0,12.500000000000082,True,True,True,443.03557373669304,179.68920454477424,12.372645999999765,0.5546518060430286,1.5153479932908962,3.859247333068864,9.204120863397495,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/160829,8-11/Fold_Box,160829,inverted,977,977,0.0,0.0,0.0,5.000000000000051,12.929920883179992,5.000000000000051,1.0000000000011828,0.0,12.500000000000082,True,True,True,606.9748099679316,179.94871063264307,12.372645999999765,0.5546518060430286,1.5153479932908962,3.859247333068864,9.204120863397495,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/161044,8-11/Fold_Box,161044,baseline,1478,1478,0.9790257104194858,0.10081190798376184,87.8213802435724,5.000000000000097,13.454408327523149,5.000000000000097,1.0000000000026408,0.0,12.500000000000082,True,True,True,46.53808774168288,13.45479094941611,12.366625000000075,1.0065422529086172,2.530213477916059,5.391750977417862,16.615747525652058,10.95049062989429,487.803088313191,False,False,0,0,0
8-11/Fold_Box/161044,8-11/Fold_Box,161044,upright_table,1478,1478,0.5987821380243572,0.07307171853856563,52.57104194857916,5.000000000000097,13.454408327523149,5.000000000000097,1.0000000000026408,0.0,12.500000000000082,True,True,True,437.6895443429207,78.55014355678448,12.366625000000075,1.0065422529086172,2.530213477916059,5.391750977417862,16.615747525652058,9.970096862238968,378.5446543631733,False,False,0,0,0
8-11/Fold_Box/161044,8-11/Fold_Box,161044,horizontal_wall,1478,1478,0.05142083897158322,0.0,5.142083897158322,5.000000000000097,13.454408327523149,5.000000000000097,1.0000000000026408,0.0,12.500000000000082,True,True,True,401.7867729465083,95.8305660150339,12.366625000000075,1.0065422529086172,2.530213477916059,5.391750977417862,16.615747525652058,15.886143507808423,639.8169004339684,False,False,0,0,0
8-11/Fold_Box/161044,8-11/Fold_Box,161044,inverted,1478,1478,0.02774018944519621,0.0006765899864682003,2.706359945872801,5.000000000000097,13.454408327523149,5.000000000000097,1.0000000000026408,0.0,12.500000000000082,True,True,True,539.7377008396602,128.95075153376854,12.366625000000075,1.0065422529086172,2.530213477916059,5.391750977417862,16.615747525652058,14.681101077291899,846.3973534932145,False,False,0,0,0
8-11/Fold_Box/161159,8-11/Fold_Box,161159,baseline,4351,4351,0.4097908526775454,0.05125258561250287,35.85382670650426,5.0000000000000915,12.935649083958126,5.0000000000000915,1.0000000000026408,0.0,12.500000000000082,True,True,True,584.3400883924367,100.59481013644901,12.369812000000646,0.6710057606429569,8.33357025988194,4.9075241425967535,17.571499972915973,25.348190931953837,1058.1291393051404,False,False,0,0,0
8-11/Fold_Box/161159,8-11/Fold_Box,161159,upright_table,4351,4351,0.2813146403125718,0.0372328200413698,24.4081820271202,5.0000000000000915,12.935649083958126,5.0000000000000915,1.0000000000026408,0.0,12.500000000000082,True,True,True,614.1927629547347,159.78887481245758,12.369812000000646,0.6710057606429569,8.33357025988194,4.9075241425967535,17.571499972915973,25.348190931953823,1058.1291393051404,False,False,0,0,0
8-11/Fold_Box/161159,8-11/Fold_Box,161159,horizontal_wall,4351,4351,0.0,0.0,0.0,5.0000000000000915,12.935649083958126,5.0000000000000915,1.0000000000026408,0.0,12.500000000000082,True,True,True,691.5967107076463,179.91356834224987,12.369812000000646,0.6710057606429569,8.33357025988194,4.9075241425967535,17.571499972915973,0.0,0.0,True,True,0,0,0
8-11/Fold_Box/161159,8-11/Fold_Box,161159,inverted,4351,4351,0.14180648126867387,0.030797517811997244,11.100896345667662,5.0000000000000915,12.935649083958126,5.0000000000000915,1.0000000000026408,0.0,12.500000000000082,True,True,True,620.4540081913426,163.2453103542788,12.369812000000646,0.6710057606429569,8.33357025988194,4.9075241425967535,17.571499972915973,17.93697366364178,658.3843693929826,False,False,0,0,0
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,baseline,1490,1490,0.18456375838926176,0.04899328859060403,13.557046979865772,5.000000000000062,1.0000000000026408,5.000000000000062,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1438.9830394174423,172.27481673519665,12.380415999999173,1.1074008421823176,6.924734689239944,3.2750676214388714,45.17559454441663,12.23781187445273,755.283781514924,False,False,0,0,0
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,upright_table,1490,1490,0.021476510067114093,0.0020134228187919465,1.9463087248322144,5.000000000000062,1.0000000000026408,5.000000000000062,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1582.8409833959643,172.89932249397452,12.380415999999173,1.1074008421823176,6.924734689239944,3.2750676214388714,45.17559454441663,21.15800726081107,1131.8767171606758,False,False,0,0,0
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,horizontal_wall,1490,1490,0.0,0.0,0.0,5.000000000000062,1.0000000000026408,5.000000000000062,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1256.2129408764283,140.34839981407973,12.380415999999173,1.1074008421823176,6.924734689239944,3.2750676214388714,45.17559454441663,0.0,0.0,True,True,0,0,0
8-11/Screw_Cap/162751,8-11/Screw_Cap,162751,inverted,1490,1490,0.0,0.0,0.0,5.000000000000062,1.0000000000026408,5.000000000000062,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1329.5845607737515,179.93755349836147,12.380415999999173,1.1074008421823176,6.924734689239944,3.2750676214388714,45.17559454441663,0.0,0.0,True,True,0,0,0
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,baseline,1907,1907,0.17881489250131097,0.028841111693759833,14.997378080755114,5.000000000000095,1.0000000000026408,5.000000000000095,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1514.772505332002,147.4196599254938,12.381292000000599,1.1885420292718067,3.5491253325472036,3.937640051620399,29.644051677843155,16.71517669386772,677.589571281223,False,False,0,0,0
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,upright_table,1907,1907,0.1457787100157315,0.019926586261143155,12.585212375458834,5.000000000000095,1.0000000000026408,5.000000000000095,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1515.6643585995123,152.2765015703632,12.381292000000599,1.1885420292718067,3.5491253325472036,3.937640051620399,29.644051677843155,25.78781963290526,1195.0064537173073,False,False,0,0,0
8-11/Screw_Cap/162818,8-11/Screw_Cap,162818,horizontal_wall,1907,1907,0.16518091242789723,0.028841111693759833,13.63398007341374,5.000000000000095,1.0000000000026408,5.000000000000095,1.0000000000026408,0.0,2.9575586669421963e-06,True,True,True,1514.8878660029122,147.97851178725054,12.381292000000599,1.1885420292718067,3.5491253325472036,3.937640051620399,29.644051677843155,28.127803138931434,1311.7974784923347,False,False,0,0,0
