t,host_monotonic_s,coordinate_frame,right_frame_counter,right_receive_monotonic_s,right_age_s,right_controller_valid,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_quat_w,right_controller_quat_x,right_controller_quat_y,right_controller_quat_z,right_tcp_valid,right_tcp_pos_x,right_tcp_pos_y,right_tcp_pos_z,right_tcp_quat_w,right_tcp_quat_x,right_tcp_quat_y,right_tcp_quat_z,left_frame_counter,left_receive_monotonic_s,left_age_s,left_controller_valid,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_quat_w,left_controller_quat_x,left_controller_quat_y,left_controller_quat_z,left_tcp_valid,left_tcp_pos_x,left_tcp_pos_y,left_tcp_pos_z,left_tcp_quat_w,left_tcp_quat_x,left_tcp_quat_y,left_tcp_quat_z
0.000000000,103636.034619833,vr_world,35074,103636.033287250,0.001332958,1,0.176745000,-0.207758000,-0.407381000,0.015637169,-0.221268182,0.970006211,-0.099417410,1,0.351431536,-0.282139663,-0.426757316,0.015637169,-0.221268182,0.970006211,-0.099417410,35157,103636.033287250,0.001332958,1,0.338332000,0.170981000,-0.429435000,0.095822822,-0.820436252,0.563627397,-0.005147872,1,0.512241882,0.102445465,-0.463995680,0.095822822,-0.820436252,0.563627397,-0.005147872
0.011130500,103636.045750333,vr_world,35074,103636.033287250,0.012463500,1,0.176745000,-0.207758000,-0.407381000,0.015637169,-0.221268182,0.970006211,-0.099417410,1,0.351431536,-0.282139663,-0.426757316,0.015637169,-0.221268182,0.970006211,-0.099417410,35157,103636.033287250,0.012463500,1,0.338332000,0.170981000,-0.429435000,0.095822822,-0.820436252,0.563627397,-0.005147872,1,0.512241882,0.102445465,-0.463995680,0.095822822,-0.820436252,0.563627397,-0.005147872
0.023530000,103636.058149833,vr_world,35075,103636.054475666,0.003674750,1,0.176986000,-0.207745000,-0.407070000,0.014778340,-0.220374532,0.970345835,-0.098212153,1,0.351482174,-0.282438499,-0.426954281,0.014778340,-0.220374532,0.970345835,-0.098212153,35158,103636.054475666,0.003674750,1,0.336684000,0.169188000,-0.426495000,0.101787579,-0.820193446,0.562941619,0.004328247,1,0.510466280,0.101865543,-0.463959929,0.101787579,-0.820193446,0.562941619,0.004328247
0.035784250,103636.070404083,vr_world,35075,103636.054475666,0.015928792,1,0.176986000,-0.207745000,-0.407070000,0.014778340,-0.220374532,0.970345835,-0.098212153,1,0.351482174,-0.282438499,-0.426954281,0.014778340,-0.220374532,0.970345835,-0.098212153,35158,103636.054475666,0.015928792,1,0.336684000,0.169188000,-0.426495000,0.101787579,-0.820193446,0.562941619,0.004328247,1,0.510466280,0.101865543,-0.463959929,0.101787579,-0.820193446,0.562941619,0.004328247
0.045796583,103636.080416416,vr_world,35076,103636.075476166,0.004940667,1,0.177008000,-0.207805000,-0.407200000,0.015067205,-0.220667280,0.970198142,-0.098967148,1,0.351570746,-0.282409213,-0.426834961,0.015067205,-0.220667280,0.970198142,-0.098967148,35159,103636.075476166,0.004940667,1,0.337192000,0.169876000,-0.427231000,0.104309960,-0.820374542,0.562161428,0.008920314,1,0.510961762,0.103324192,-0.466104636,0.104309960,-0.820374542,0.562161428,0.008920314
0.056466042,103636.091085875,vr_world,35076,103636.075476166,0.015610334,1,0.177008000,-0.207805000,-0.407200000,0.015067205,-0.220667280,0.970198142,-0.098967148,1,0.351570746,-0.282409213,-0.426834961,0.015067205,-0.220667280,0.970198142,-0.098967148,35159,103636.075476166,0.015610334,1,0.337192000,0.169876000,-0.427231000,0.104309960,-0.820374542,0.562161428,0.008920314,1,0.510961762,0.103324192,-0.466104636,0.104309960,-0.820374542,0.562161428,0.008920314
0.068899417,103636.103519250,vr_world,35077,103636.097378958,0.006142750,1,0.177131000,-0.207661000,-0.407283000,0.014629555,-0.220250342,0.970244826,-0.099502465,1,0.351613628,-0.282451602,-0.426920318,0.014629555,-0.220250342,0.970244826,-0.099502465,35160,103636.097378958,0.006142750,1,0.336249000,0.171194000,-0.428311000,0.098633676,-0.822736332,0.559797265,-0.001829870,1,0.510748901,0.104596089,-0.463676280,0.098633676,-0.822736332,0.559797265,-0.001829870
0.081314167,103636.115934000,vr_world,35077,103636.097378958,0.018555500,1,0.177131000,-0.207661000,-0.407283000,0.014629555,-0.220250342,0.970244826,-0.099502465,1,0.351613628,-0.282451602,-0.426920318,0.014629555,-0.220250342,0.970244826,-0.099502465,35160,103636.097378958,0.018555500,1,0.336249000,0.171194000,-0.428311000,0.098633676,-0.822736332,0.559797265,-0.001829870,1,0.510748901,0.104596089,-0.463676280,0.098633676,-0.822736332,0.559797265,-0.001829870
0.093727833,103636.128347666,vr_world,35078,103636.118073500,0.010274625,1,0.177187000,-0.207875000,-0.407395000,0.014535774,-0.220704355,0.970059948,-0.100309501,1,0.351740171,-0.282537457,-0.426893039,0.014535774,-0.220704355,0.970059948,-0.100309501,35161,103636.118073500,0.010274625,1,0.337477000,0.172863000,-0.425811000,0.088222483,-0.820499322,0.564797142,-0.001357953,1,0.510770300,0.103827351,-0.462413689,0.088222483,-0.820499322,0.564797142,-0.001357953
0.104230958,103636.138850791,vr_world,35078,103636.118073500,0.020779416,1,0.177187000,-0.207875000,-0.407395000,0.014535774,-0.220704355,0.970059948,-0.100309501,1,0.351740171,-0.282537457,-0.426893039,0.014535774,-0.220704355,0.970059948,-0.100309501,35161,103636.118073500,0.020779416,1,0.337477000,0.172863000,-0.425811000,0.088222483,-0.820499322,0.564797142,-0.001357953,1,0.510770300,0.103827351,-0.462413689,0.088222483,-0.820499322,0.564797142,-0.001357953
0.116627417,103636.151247250,vr_world,35079,103636.139335041,0.011912834,1,0.177165000,-0.208002000,-0.407491000,0.014419128,-0.220674234,0.970069063,-0.100304455,1,0.351707358,-0.282680265,-0.427025057,0.014419128,-0.220674234,0.970069063,-0.100304455,35162,103636.139335041,0.011912834,1,0.337381000,0.173601000,-0.424379000,0.081558537,-0.821287695,0.564654030,-0.000744624,1,0.510443390,0.104391929,-0.461737980,0.081558537,-0.821287695,0.564654030,-0.000744624
0.129061125,103636.163680958,vr_world,35080,103636.160498208,0.003183417,1,0.177151000,-0.208232000,-0.407594000,0.015084417,-0.221031220,0.969954669,-0.100526612,1,0.351783882,-0.282761602,-0.426884739,0.015084417,-0.221031220,0.969954669,-0.100526612,35163,103636.160498208,0.003183417,1,0.335899000,0.174163000,-0.426791000,0.079945461,-0.822767101,0.562606012,-0.011725857,1,0.509771593,0.104974893,-0.460220829,0.079945461,-0.822767101,0.562606012,-0.011725857
